,Flowering.time.at.Arkansas,Flag.leaf.length,Flag.leaf.width,Awn.presence,Panicle.number.per.plant,Plant.height,Panicle.length,Primary.panicle.branch.number,Seed.number.per.panicle,Florets.per.panicle,Panicle.fertility,Seed.length,Seed.width,Seed.length.width.ratio,Blast.resistance,Amylose.content,Alkali.spreading.value,Protein.content
NSFTV155@9127f236.0,82.5,24.175,0.816666667,1,3.48635519,116.8333333,22.0625,9,4.564348191,4.662581093,0.906,7.519358333,3.464683333,2.17,7,18.52666667,4.611111111,10.45
NSFTV156@93387d96.0,93.83333333,33.29166667,1.308333333,0,3.79173684,98.08333333,26.3,12.41666667,4.984747523,5.14409724,0.853,7.389308333,3.115875,2.372,1,24.23,7,8.1
NSFTV157@2db62b89.0,88,34.24444444,1.122222222,0,3.266607228,98.22222222,23.67142857,10.85714286,4.951907021,5.157137753,0.814,7.3989,3.362911111,2.2,2,18.90666667,7,8
NSFTV158@6516a500.0,90,41.4,1.066666667,0,3.184974273,102.1666667,25.41666667,9.166666667,4.805386233,5.107963638,0.739,6.951116667,3.47045,2.003,6,20.11,7,8.05
NSFTV160@f659d521.0,82.83333333,26.28888889,1.022222222,1,3.392829132,134,29.28888889,8.444444444,4.698964065,4.80811103,0.897,8.377483333,3.052558333,2.744,3,18.35,5.194444445,9.35
NSFTV161@4f643bf5.0,97.25,30.78333333,1.316666667,0,3.501545355,96.11111111,24.26,12,5.562816104,5.797407734,0.791,7.683009091,3.016663636,2.547,1,23.56,5.875,7.7
NSFTV162@2b28e441.0,111,49.44444444,0.655555556,0,3.763136225,129.1111111,27.8,10.33333333,4.622295436,5.031031922,0.664,8.092125,2.514041667,3.219,8,24.88333333,7,7.6
NSFTV163@192e24ab.0,102.75,28.92222222,0.966666667,0,4.099884743,143.9166667,27.1,10.77777778,5.065754593,5.232444622,0.846,7.761075,2.610125,2.973,1,26.71666667,6.833333334,7.4
NSFTV164@72497775.0,104.8333333,29.87777778,1.755555556,1,2.737249356,110.8333333,25.03333333,13.16666667,5.367532436,5.479712568,0.894,8.875233333,3.254144444,2.727,7,20.5,6.759259259,7.2
NSFTV165@9b2223bb.0,85,25.29166667,1.366666667,1,2.538973871,134.6666667,25.95,10.33333333,5.173792908,5.634789603,0.631,7.701481818,3.309981818,2.327,8,19.18,5.375,8.8
NSFTV166@61152244.0,104.0833333,36.77916667,1.066666667,0,3.55296427,161,30.60909091,9.090909091,4.952620899,5.257968745,0.737,8.77615,2.868683333,3.059,9,27.48666667,6.166666667,8.6
NSFTV167@8e941960.0,88.08333333,30.375,1.341666667,0,3.028522096,90.33333333,26.81666667,11.25,4.603502129,5.215841145,0.542,9.16464,2.53908,3.609,6,22.11,6.125,8.9
NSFTV169@ba028784.0,85.75,35.27142857,0.957142857,0,3.228826156,143.8571429,29.34285714,8.714285714,3.853182505,4.69918082,0.429,10.567725,3.48775,3.03,6,0,6.708333334,9.7
NSFTV170@715bc18e.0,86,28.68333333,1.266666667,0,2.926739402,91,23.6,10.5,4.917544871,5.180846782,0.769,9.466366667,2.540116667,3.727,3,21.94333333,5,8.9
NSFTV171@b238d197.0,70.66666667,22.09166667,1.175,0,3.757316616,87.16666667,22.09166667,9.333333333,5.008410599,5.157617484,0.861,8.880391667,2.987925,2.972,1,25.28666667,3.444444445,7.8
NSFTV172@9ac72c9e.0,73.5,23.83333333,1.188888889,0,3.52144651,86,22.65,9.875,4.716060837,4.837003148,0.886,7.877366667,3.258775,2.417,1,22.53,5.791666667,10.5
NSFTV173@0f847952.0,90.33333333,32.76666667,1.033333333,0,2.85263143,88.11111111,23.18333333,9.833333333,4.624972813,4.758504206,0.875,7.714477778,3.313355556,2.328,3,18.17,6.416666667,7.6
NSFTV174@08de34ee.0,101.0833333,39.53333333,1.544444444,0,2.47793798,151.6666667,31.24285714,14.42857143,5.088477781,5.277385531,0.828,9.854327273,2.849645455,3.458,2,22.84,6.25,9
NSFTV176@8cfa8fb2.0,98.85714286,36.75833333,1.891666667,0,2.668384945,131.6666667,26.29166667,14.5,5.152327739,5.318936654,0.847,9.099141667,3.6986,2.46,6,22.505,6.458333334,9.8
NSFTV177@15e6c437.0,76,24.28888889,1.166666667,0,3.595026545,90,20.36666667,10.5,4.894441903,5.02148531,0.881,7.960258333,3.238133333,2.458,8,13.39,6.625,7.6
NSFTV178@480f7505.0,88,41.88333333,1.541666667,0,3.215536924,159.75,30.1,9.818181818,5.318565527,5.484796933,0.847,6.7898,2.764791667,2.456,6,27.28666667,5.916666667,8.05
NSFTV179@5505a767.0,71.83333333,20.725,0.816666667,0,3.585831078,97.41666667,20.775,10.25,4.658710953,4.743481802,0.919,7.486616667,3.5665,2.099,9,21.43,6.875,8.7
NSFTV180@f948d7b5.0,79.41666667,31.85833333,1,0,3.10980473,112.75,25.6,9.333333333,4.820281566,5.012855051,0.825,7.188383333,3.593733333,2,8,18.94333333,6.875,8
NSFTV181@8cd35626.0,107.2222222,34.03333333,1.0125,0,3.341093458,126.1666667,22.95555556,12.11111111,5.106496286,5.336663572,0.794,7.519775,3.513616667,2.14,9,18.605,7,7.45
NSFTV182@024bbd20.0,107.3333333,32.85,1.441666667,NA,2.90416508,128,23.93333333,13.66666667,5.321382639,5.451515212,0.878,8.541775,3.380958333,2.526,7,18.245,7,7.4
NSFTV183@c08a5ea2.0,94,34.07777778,1.7,0,2.751535313,122.4444444,22.86666667,11.55555556,5.139712336,5.252709633,0.893,8.686627273,3.092918182,2.809,1,23.87,5.75,7.6
NSFTV184@7119ebee.0,83.75,35.5,1.133333333,0,2.608843551,117.8333333,23.57777778,11.33333333,4.89987301,5.059136816,0.853,7.369758333,3.99045,1.847,7,19.425,7,8.8
NSFTV185@c97be7ae.0,92.5,32.18333333,1.441666667,0,2.922265122,127.4166667,22.26666667,10,4.805386233,4.971547905,0.847,9.431745455,3.162709091,2.982,3,22.74333333,5.708333334,7.75
NSFTV186@4559ff3f.0,87.5,38.81666667,1.05,0,3.098589659,107.0833333,26.78181818,10.54545455,5.035771267,5.240784551,0.815,7.433666667,3.4992,2.124,5,17.14333333,6.458333334,7.1
NSFTV187@60e142c3.0,76.33333333,27.525,1.275,0,2.696876901,106,25.1,12.08333333,5.11699531,5.222605545,0.9,9.690625,2.468066667,3.926,7,20.08,6.958333334,8.3
NSFTV188@bf18cbae.0,101.5,40.6,1.822222222,0,2.881069365,120.0833333,23.15,11.83333333,5.49340432,5.672750365,0.836,7.40925,3.131791667,2.366,1,23.25333333,6.5,8.15
NSFTV189@661eaeaa.0,79.75,22.39166667,1.116666667,0,3.64414356,141.6666667,19.52222222,7.888888889,4.7225491,4.849897309,0.88,7.458109091,3.305836364,2.256,2,23.36,5.875,8.05
NSFTV190@bf7afed8.0,111.5,26.75,1.883333333,1,NA,110.6666667,20.56666667,17,5.26096158,5.676753802,0.66,8.359555556,2.733177778,3.059,5,23.15666667,6,9.1
NSFTV191@97ce6839.0,82.75,27.70833333,0.891666667,1,3.149882953,152,31.15833333,7.833333333,4.505851985,4.643516391,0.871,9.517816667,2.7633,3.444,7,19.475,5.083333334,9.4
NSFTV192@fdd98970.0,55.75,27.35833333,1.15,1,3.301990732,93.75,20.93333333,6.888888889,3.704663322,4.185513949,0.618,8.151533333,3.540883333,2.302,3,19.425,6.916666667,NA
NSFTV193@5632be21.0,101.5,42.34444444,1.877777778,0,2.449567283,120.1818182,27.68888889,12.88888889,5.592643982,5.800774741,0.812,8.908483333,3.273916667,2.721,1,22.18,5.791666667,8.4
NSFTV195@3c10a4b8.0,92,31.21666667,1.55,0,2.722756348,95.5,23.82222222,10.77777778,4.742755849,4.985317486,0.785,10.29484167,3.689725,2.79,1,16.86,3.583333334,8.2
NSFTV198@818143d8.0,84.75,21.55833333,1.316666667,0,3.205452805,90.83333333,23.13333333,9,4.88692564,5.026866489,0.869,9.716916667,2.708091667,3.588,2,22.41333333,5.555555556,9.8
NSFTV199@958ed737.0,91.75,35.10833333,1.5,0,2.961830722,116.0833333,22.93333333,12.55555556,5.047002938,5.618385955,0.565,6.802872727,3.336309091,2.039,NA,20.36666667,NA,NA
NSFTV200@c8a73fe7.0,103.75,30.88888889,1.166666667,0,3.80666249,137,23.47777778,7.666666667,4.626061545,4.772566093,0.864,8.027308333,2.769508333,2.898,2,27.87333333,5.777777778,6.8
NSFTV201@263f2baf.0,105.6666667,35.88888889,1.588888889,0,2.456735773,111.25,25.9,10.88888889,4.955044279,5.072392172,0.889,9.34845,3.53535,2.644,2,23.74,6.041666667,9.15
NSFTV202@ccdc6d39.0,93,33.6,1.433333333,0,3.149882953,127.25,22.38888889,10.125,4.641180624,5.017279837,0.687,9.380325,2.977608333,3.15,1,21.225,5.25,9.05
NSFTV203@f46f03bf.0,81.83333333,35.41666667,1.058333333,0,3.944812828,143.8333333,26.56666667,8.5,4.708027571,4.820281566,0.894,7.877266667,2.76445,2.849,6,22.695,5.75,7.65
NSFTV204@778cea6e.0,76.75,25.05555556,1.077777778,0,3.113515309,112.6666667,19.06666667,8.222222222,4.672828834,4.890975498,0.804,9.621641667,3.94675,2.438,8,16.34,6.141666667,9.05
NSFTV205@348853a5.0,78.25,29.41666667,1.341666667,1,2.862200881,115.3333333,23.84166667,9.416666667,4.94875989,5.037601742,0.915,9.4767,3.619025,2.619,7,15.13333333,6,10.05
NSFTV206@37249a74.0,101.4166667,37.7,1.055555556,0,3.468336684,187.8888889,34.68888889,9.444444444,4.615120517,5.091019824,0.621,8.714466667,3.077716667,2.831,6,27.09333333,6.583333334,7.5
NSFTV207@d628ec3a.0,100,40.95833333,1.391666667,0,3.441130092,121.5,29.55555556,11.55555556,5.170483995,5.472270674,0.739,8.444055556,2.960244444,2.852,3,23.26,6,7.6
NSFTV208@e876c9ec.0,112.9,42.24444444,1.188888889,0,3.786711703,141,24.38888889,13.33333333,5.068904202,5.18178355,0.893,7.999666667,2.720216667,2.941,2,22.73,7,7.5
NSFTV209@5384be83.0,84.5,25.27777778,1.088888889,0,3.55296427,88.55555556,24.06666667,11.66666667,5.050923813,5.123467825,0.93,7.4538,3.156941667,2.361,1,24.97666667,5.583333334,7.5
NSFTV211@5497b233.0,70.08333333,23.79166667,1.083333333,1,3.083437854,101.1666667,20.36666667,7.5,4.508108473,4.601831285,0.911,8.923466667,3.604725,2.475,6,0.063333333,6.958333334,9.7
NSFTV212@330798b4.0,89.25,37.8,1.708333333,0,2.777783539,138.9166667,25.1,11.66666667,4.91876364,5.147978856,0.795,9.485558333,3.272391667,2.899,NA,NA,6,NA
NSFTV213@b2320902.0,82.5,33.36666667,1.433333333,0,2.730029108,120.0833333,23.475,10.91666667,5.12148074,5.334729653,0.808,9.409616667,3.367525,2.794,8,12.79666667,2,8
NSFTV214@34df4fca.0,98.58333333,38.4,1.466666667,0,2.880219386,123.1666667,26.71111111,12.77777778,5.247024072,5.416504361,0.844,9.39707,2.5966,3.619,4,22.96,6.055555556,8.6
NSFTV215@fed1dbae.0,103.0833333,32.45,1.45,0,2.876385516,101.0833333,22.51666667,10,4.899082808,5.006180944,0.898,8.7648,3.501758333,2.503,6,22.905,5.541666667,8.7
NSFTV216@149fb038.0,109.0833333,30.80833333,0.929166667,0,3.663561646,103.3333333,21.82222222,9.777777778,4.932509939,5.101528018,0.844,7.008625,3.43315,2.041,9,19.18333333,7,7.35
NSFTV217@915c0033.0,79.5,31.38333333,0.916666667,0,2.862200881,120.75,28.20909091,11.45454545,5.200002678,5.386994023,0.829,9.3689,2.562808333,3.656,9,13.68,6.375,8.6
NSFTV218@85da3a70.0,85.83333333,25.425,0.866666667,0,3.245193133,113.75,24.9,9.833333333,4.62333749,4.918154441,0.745,9.46975,2.615783333,3.62,9,11.835,3.208333334,9
NSFTV219@199f4455.0,56.25,23.48333333,0.983333333,0,3.390024081,87.75,18.26666667,6.666666667,4.204692619,4.447984602,0.784,9.0154,3.449654545,2.613,9,17.555,6.25,8.55
NSFTV220@c5bf98cc.0,62.83333333,30.86666667,1.025,1,3.54337187,95.25,19.85555556,7.888888889,3.978831675,4.175784894,0.821,8.0079,3.501618182,2.287,6,18.82666667,7,10.7
NSFTV221@311aaf30.0,72.66666667,29.78333333,0.925,0,3.171085161,117,22.975,6.5,4.558253266,4.684443367,0.881,8.3324,2.88335,2.89,8,16.89,5.833333334,8.45
NSFTV222@7cfe4a0c.0,79.75,29.94166667,1.1,0,3.834061464,143.25,27.00833333,10.75,4.862393051,4.976158865,0.892,8.061483333,3.027325,2.663,9,20.255,5.333333334,9.05
NSFTV223@f73fa9e9.0,86.08333333,28.88333333,1.375,1,2.871679625,121.1666667,22.22727273,8.818181818,4.83958333,5.018382981,0.836,9.931816667,3.145108333,3.158,1,17.715,5,9.1
NSFTV224@f2e9bed5.0,89.75,27.39166667,0.991666667,1,3.044522438,110.5833333,21.41818182,11,4.806997237,4.978612854,0.842,8.123975,3.57265,2.274,9,16.765,6.375,10.95
NSFTV225@a31b4a06.0,77.25,31.46666667,1.308333333,0,3.083437854,103.0833333,22.83333333,10.77777778,5.191946239,5.279041873,0.917,7.94155,3.916983333,2.027,9,13.58,6.166666667,8.75
NSFTV226@536afc14.0,78.75,28.075,1.591666667,0,2.63905733,100,23.25833333,10.25,4.846153655,4.977882508,0.877,9.8589,3.683,2.677,1,12.81333333,3,8.8
NSFTV227@a7983b03.0,107.1666667,31.29166667,1.133333333,0,3.208825489,145.9166667,27.975,8,4.905891872,5.064702515,0.853,8.33975,3.425516667,2.435,9,24.67333333,5.291666667,8.25
NSFTV228@195567bf.0,77.91666667,28.74166667,1.066666667,0,3.771482983,118.8181818,24.39166667,9.916666667,4.882801923,4.902802589,0.98,8.358458333,3.06465,2.727,8,26.58666667,5.694444445,8.5
NSFTV231@49649a00.0,65.5,17.84166667,1.041666667,0,4.171819874,75.08333333,19.80833333,8.833333333,4.334017415,4.406719247,0.93,7.757816667,3.02635,2.563,1,23.82,6.5,9.65
NSFTV232@c528bce0.0,66.66666667,25.14166667,1.058333333,1,3.373026505,70.58333333,15.63333333,9.833333333,4.656554385,4.725777512,0.933,7.020018182,3.493909091,2.009,8,13.91,6.833333334,7.85
NSFTV233@ca615802.0,69.58333333,22.04166667,0.883333333,1,3.139110856,81.91666667,18.08333333,8.25,4.433788569,4.571268634,0.872,7.2806,3.3197,2.193,9,13.46,7,7.95
NSFTV234@32ca1759.0,75.25,20.96666667,1.1,0,4.124442593,83.5,23.76363636,8.272727273,4.691347882,4.766438334,0.928,8.013363636,3.132063636,2.558,4,22.15,5,8.55
NSFTV235@13ae4f27.0,82.91666667,28.20833333,1.183333333,0,3.688879454,139.5,25.36363636,8.545454545,4.724971386,4.85557511,0.878,7.929525,3.029175,2.618,2,23.36333333,5.875,8.1
NSFTV236@eb17cda6.0,82.08333333,27.25,1.158333333,1,3.238678452,117.25,22.92222222,10.33333333,4.901564199,5.187385806,0.751,7.323566667,3.17715,2.305,8,0.353333333,6.666666667,8.35
NSFTV237@dc2cf39b.0,75.58333333,22.8,0.958333333,1,2.823361048,95,23.33333333,9,4.539742381,4.685981829,0.864,11.23425833,2.818841667,3.985,7,11.40666667,2,9.6
NSFTV239@523d5ec4.0,78.5,26.3,1.455555556,0,2.756840365,106.8888889,24.6875,10.125,4.734442522,4.888090941,0.858,9.001075,3.558016667,2.53,1,13.54,3.208333334,8.9
NSFTV240@6f263bd1.0,77.33333333,24.26666667,1.358333333,0,2.751535313,103.75,24.17272727,11.81818182,4.895122407,5.034588535,0.87,9.196941667,3.587908333,2.563,1,12.58,3.666666667,8
NSFTV241@2a7724c1.0,92.25,25.83333333,1.183333333,0,3.54577861,98.77777778,24.8,10,4.954260887,5.164150852,0.811,7.828690909,2.730781818,2.867,1,25.21333333,7,8.15
NSFTV242@b21f7528.0,81.75,26.46666667,1.275,0,3.198673118,115.1666667,21.75555556,9.111111111,4.994136295,5.085349143,0.913,8.778472727,3.201018182,2.742,5,19.32333333,5.375,8.25
NSFTV243@44aeff79.0,61.75,29.27777778,1,0,3.633190548,86.33333333,20.71666667,8,4.421848129,4.588363068,0.847,9.918509091,3.147372727,3.151,9,19.97,5.375,7.95
NSFTV244@5efe8622.0,106.4166667,42.08888889,1.288888889,0,3.251665648,100.5,30.6,12.85714286,4.968423445,5.479712568,0.6,9.576363636,2.889827273,3.314,3,22.33666667,6.5,8.5
NSFTV245@8a41a10a.0,78.91666667,29.73333333,1.083333333,1,3.094823176,115.9166667,25.73333333,11.45454545,4.955122584,5.031744257,0.926,8.173258333,3.579341667,2.283,8,19.34666667,6.208333334,9.4
NSFTV246@e0815776.0,94.75,22.79166667,0.891666667,0,3.54337187,125,20.59090909,6.727272727,4.632077639,4.659141709,0.973,7.791483333,3.058958333,2.547,7,24.17,5.316666667,9.35
NSFTV247@de7ac7bf.0,74.91666667,21.90833333,0.716666667,1,3.617651945,97.25,22.975,8.818181818,4.483943729,4.610986571,0.881,7.9549,3.6031,2.208,9,15.46333333,6.583333334,9.8
NSFTV248@9b37187d.0,77.5,29.33333333,1.158333333,0,2.833213344,119.5833333,22.24545455,9.727272727,4.972335369,5.177176427,0.815,8.566533333,3.647433333,2.349,8,14.78,6.791666667,9.1
NSFTV249@87621330.0,74.33333333,29.3,1.308333333,1,3.326234343,103.25,23.28333333,8.166666667,4.55562974,4.967495801,0.662,8.297590909,3.849690909,2.155,6,16.69666667,6.083333334,9.15
NSFTV250@88e1f162.0,57.75,28.63333333,0.966666667,1,3.32323584,94.66666667,19.46666667,7,4.158883083,4.331928798,0.841,7.523325,3.658483333,2.056,9,16.30333333,6.875,7.75
NSFTV251@f25ad349.0,87.75,28.76666667,1.1,0,3.146305132,90,24.39166667,10.25,4.860458191,5.127924381,0.765,8.986816667,2.298658333,3.91,8,20.22333333,5.333333334,8.9
NSFTV252@56f5103e.0,75.75,36.01666667,1.016666667,0,3.874667219,136.25,23.15555556,7.111111111,4.518819748,4.736198448,0.805,10.34176667,2.684391667,3.853,4,25.27,5.75,8.25
NSFTV253@1911c363.0,82.66666667,23.86666667,1.333333333,0,2.995732274,110.8888889,20.21666667,11.83333333,4.815566164,5.061539624,0.782,8.012216667,2.947133333,2.719,8,17.77666667,4,8.3
NSFTV255@3fb62843.0,95.91666667,24.96666667,1.133333333,0,3.657130756,124.3333333,22.58888889,8.222222222,4.49980967,4.602439187,0.902,7.688191667,3.090925,2.487,2,25.93333333,6,NA
NSFTV256@0be20a08.0,62.75,27.88333333,1.008333333,0,3.463128339,100.6666667,18.1125,8.875,4.354375103,4.506855497,0.859,8.1721,3.530291667,2.315,9,18.43,6.708333334,8.85
NSFTV257@cb9c18df.0,66.83333333,27.62727273,0.981818182,0,3.070633582,90.75,18.54166667,8.166666667,4.491441421,4.736929176,0.782,9.782033333,3.155941667,3.1,8,18.22333333,5.361111111,9.6
NSFTV258@60c362f1.0,102.5,26.51666667,1.241666667,0,2.999890284,125.75,29.95,9,4.748548769,4.882801923,0.874,10.01429,2.62081,3.821,9,22.65333333,6.158333334,8.75
NSFTV259@fe70ec33.0,103.4166667,30.50833333,1.175,0,3.375879574,148.3333333,27.32222222,7.444444444,4.891032422,5.011241171,0.887,9.073908333,3.380366667,2.684,7,27.29333333,5.75,8.8
NSFTV260@bfa16661.0,89.41666667,32.13333333,1,0,3.251665648,168,32.86666667,8.333333333,4.543294782,4.87866113,0.715,9.343808333,2.827325,3.305,3,22.80333333,5.5,9.65
NSFTV261@ceb798a3.0,79.75,30.28333333,1.125,1,3.963982744,102.6666667,19.34545455,6.636363636,4.289213335,4.377470818,0.916,7.996266667,2.775916667,2.881,9,25.45333333,4.583333334,8.4
NSFTV262@f30e146b.0,103.4166667,27.81666667,1.408333333,0,3.462890951,130,20.91666667,8.5,4.899195732,4.976106587,0.926,8.038845455,3.074954545,2.614,7,25.365,4.875,8.65
NSFTV263@c7d2513e.0,73.25,27.33333333,1.225,0,2.931193752,108.1666667,19.94545455,11.72727273,5.084223651,5.185861028,0.903,7.8336,3.766341667,2.08,9,15.97333333,6.791666667,8.25
NSFTV264@f2f12364.0,78,23.63333333,1.4,0,3.075774981,102.8333333,19.11666667,10,4.841558964,4.968655222,0.881,9.503625,3.584991667,2.651,8,14.36333333,6.541666667,8.85
NSFTV265@544f48c0.0,77.91666667,31.31666667,1.316666667,0,2.818398258,127.5833333,22.35,9.375,4.946823781,5.076309534,0.879,8.284825,3.989291667,2.077,8,15.515,6.625,9.85
NSFTV266@f7da2506.0,70.75,21.175,0.991666667,1,2.881069365,110.1666667,21.13333333,8.333333333,5.081404365,5.155857343,0.928,7.5431,3.597675,2.097,8,14.025,6.541666667,8.35
NSFTV267@aceb3352.0,77.16666667,19.28333333,0.591666667,1,3.506557897,97.25,18.79166667,9.666666667,4.471638793,4.575569716,0.901,7.441141667,3.39825,2.19,6,14.455,6.5,8.7
NSFTV268@b49ad0db.0,60.4,37.61666667,1.108333333,1,3.388618599,106,22.39166667,7.916666667,4.369447852,4.537069773,0.846,9.0544,3.399858333,2.663,8,17.60666667,5.516666667,8.65
NSFTV269@092f15e7.0,105.8333333,34.975,1.075,1,3.113515309,92.58333333,24.74166667,9.090909091,4.904657304,5.278964638,0.688,9.581616667,2.68765,3.565,1,15.78333333,2.791666667,10.55
NSFTV270@6815ec6d.0,73.75,24.875,1.45,0,2.922265122,108.8333333,22.37272727,8.909090909,4.691347882,4.854158679,0.85,10.7766,3.24625,3.32,8,13.36666667,6.041666667,8.9
NSFTV271@b67fd5f6.0,78.66666667,28.43333333,1.1,0,2.627081139,114.25,24.025,10.66666667,4.870734453,5.110983268,0.786,10.17014167,3.717766667,2.736,9,14.65666667,6.333333334,10.15
NSFTV272@c7301040.0,108.0833333,35.85,1.041666667,0,3.412247218,142.4444444,32.2,7.090909091,4.050994121,4.651359568,0.549,12.54885455,2.940963636,4.267,6,25.55,7,10.15
NSFTV273@493f2b7e.0,82.16666667,29.80833333,1.216666667,0,2.813410717,130.8333333,23.87272727,10.27272727,4.885552956,5.094865028,0.811,9.220925,3.34745,2.755,1,16.08333333,2.083333334,9.5
NSFTV274@7dba928e.0,106,36.325,1.541666667,0,2.590267165,147.9166667,35.68333333,8.916666667,4.717754547,4.967495801,0.779,9.897763636,3.247327273,3.048,1,20.89333333,6.333333334,8.85
NSFTV275@07dac217.0,77.66666667,26.59166667,1.108333333,0,3.012261576,100.25,20.325,9.833333333,4.404684659,4.522693964,0.889,8.566575,3.356825,2.552,6,15.68,6.666666667,8.5
NSFTV276@fc26ce23.0,80.25,33.75833333,1.458333333,1,3.36441813,135.3333333,27.25833333,11,5.379897354,5.466300507,0.917,6.835309091,3.3243,2.056,7,25.25666667,5.416666667,7.75
NSFTV277@1516d75f.0,82.33333333,25.31111111,1.511111111,0,3.075774981,101.1,17.83333333,10.77777778,4.922411061,5.189246271,0.766,8.544,3.848033333,2.22,8,17.01,6.916666667,9.05
NSFTV278@17627a92.0,82,26.25,0.966666667,1,3.567182519,92.83333333,21.6,8.111111111,4.752806185,4.949404428,0.822,7.766466667,3.23775,2.399,9,14.05,6.833333334,8.5
NSFTV279@642238d9.0,57.25,29.2,0.941666667,0,3.235405127,90.91666667,16.95,6.166666667,4.291600343,4.48863637,0.821,8.292808333,3.39995,2.439,2,19.26666667,6.5,11.15
NSFTV280@58d5bdc3.0,84.08333333,34.55,1.408333333,0,2.866951484,114.75,25.70909091,11.27272727,5.097646671,5.45064821,0.703,8.520266667,3.216266667,2.649,3,16.46333333,6.222222222,8.05
NSFTV281@85959164.0,85.33333333,31.675,1.091666667,0,2.857427602,113.6666667,25.45,10.25,4.846153655,5.05465218,0.812,9.467608333,3.343166667,2.832,9,15.83333333,5.666666667,7.3
NSFTV282@5aa7968d.0,80.91666667,21.425,1.466666667,0,3.008154794,79.75,16.77777778,11.11111111,5.201005184,5.357871897,0.855,7.652391667,3.863633333,1.981,8,15.39666667,6.75,8.95
NSFTV283@6b37cb3d.0,77.58333333,28.14166667,1.166666667,0,3.071921412,96.41666667,19.37272727,9.727272727,4.831218605,5.094865028,0.768,8.309283333,3.641125,2.282,8,14.92,2.25,9.6
