,Flowering.time.at.Arkansas,Flag.leaf.length,Flag.leaf.width,Awn.presence,Panicle.number.per.plant,Plant.height,Panicle.length,Primary.panicle.branch.number,Seed.number.per.panicle,Florets.per.panicle,Panicle.fertility,Seed.length,Seed.width,Seed.length.width.ratio,Blast.resistance,Amylose.content,Alkali.spreading.value,Protein.content
NSFTV284@a32e0586.0,81,26.55833333,1.183333333,1,3.819542153,104,26.425,9.25,4.952888472,5.11248967,0.852,9.56905,2.580675,3.708,1,24.36666667,5.944444445,7.9
NSFTV285@9baa653c.0,79.5,27.74166667,1.291666667,0,2.650891787,93.16666667,22.51111111,9.222222222,4.91665756,5.089278421,0.841,9.679854545,2.971590909,3.257,1,20.3,5.083333334,8.95
NSFTV286@044639de.0,86,32.88888889,1.622222222,0,3.071921412,105.1666667,25.05555556,11.22222222,4.833632899,5.133835728,0.741,9.431591667,3.400683333,2.773,1,13.96333333,3.791666667,8.45
NSFTV287@0e787735.0,54.5,29.35833333,1.258333333,0,3.063390922,91.08333333,18.61666667,6.416666667,4.220732445,4.428830701,0.812,8.11275,3.747416667,2.165,8,15.04,7,8
NSFTV288@bc6b0af5.0,58,31.025,1.141666667,0,3.164067588,89.33333333,19.03333333,7.083333333,4.143134726,4.414816457,0.762,8.894866667,3.360283333,2.647,7,20.24,7,11
NSFTV289@7fc911f7.0,63,31.94166667,0.941666667,0,3.283414346,98.08333333,20,6.818181818,4.275402695,4.392201963,0.89,8.752466667,3.531341667,2.479,7,17.77333333,6.791666667,9.9
NSFTV290@d864377c.0,74.75,27.99166667,1.008333333,0,3.747541367,90.91666667,18.84545455,10.18181818,4.89239761,4.96284463,0.932,7.16465,3.455941667,2.073,9,15.11666667,6.75,8
NSFTV291@b29d3bf4.0,67.08333333,18.28333333,0.966666667,0,3.387774361,67.75,16.51111111,8.222222222,4.518158809,4.657129925,0.87,7.0208,3.221191667,2.18,8,14.885,6.791666667,7.1
NSFTV292@6d9c7d8b.0,67.83333333,30.63636364,1.390909091,0,3.174575566,107.8181818,21.2,8.875,4.809964599,4.984229093,0.84,8.762516667,3.466158333,2.528,8,17.53333333,6.833333334,9.95
NSFTV293@4c188d7c.0,104.75,26.43333333,1.016666667,0,3.273995124,138.5833333,26.46666667,7.666666667,4.919372468,5.033700567,0.892,8.318841667,3.485533333,2.387,8,25.86333333,5.694444445,7.8
NSFTV294@9a60fd42.0,85.66666667,27.26666667,1.166666667,1,3.326234343,107.25,24.15,10.16666667,5.047716969,5.305375731,0.773,8.383208333,2.685108333,3.122,1,16.39,7,6.5
NSFTV295@e8c621e8.0,78.75,26.06666667,1.25,1,3.308106959,99.75,19.71666667,8.5,4.48863637,4.633109555,0.865,7.924941667,3.796775,2.087,8,12.90333333,7,9.3
NSFTV296@2b81cf74.0,79.75,24.95,1.383333333,0,3.48635519,97.08333333,19.46363636,8.818181818,4.906919516,5.080713996,0.84,8.318083333,3.730366667,2.23,8,15.53,7,8.9
NSFTV297@5ae0bd70.0,82.83333333,24.6,1.375,0,3.222203615,99.91666667,18.14545455,10.63636364,4.894441903,5.276257648,0.683,8.422808333,3.839725,2.194,9,16.77,6.958333334,9.35
NSFTV299@07f246bb.0,70.33333333,27.75,1.075,0,3.799227511,130.25,25.54545455,8.727272727,4.816609141,4.87866113,0.94,8.076133333,3.137541667,2.574,3,23.25333333,5.083333334,7.65
NSFTV300@16d7e397.0,76.25,28.51666667,1.316666667,0,2.908720897,99.75,21.21111111,10.33333333,5.04576841,5.203507062,0.854,8.102783333,3.406666667,2.379,5,18.91666667,7,8
NSFTV301@86556239.0,75.58333333,25.51111111,0.777777778,1,2.722756348,108.2222222,21.24444444,9.444444444,4.834516681,5.009894279,0.839,7.3055,3.293477778,2.218,9,14.95,5.027777778,11.3
NSFTV302@234e0df9.0,79.25,23.65,0.9875,0,2.862200881,101.9166667,22.51666667,9.583333333,4.596241555,4.816690897,0.802,7.0951375,3.2013625,2.216,9,15.24333333,5.416666667,9.6
NSFTV303@73c4fdfb.0,81.75,24.00833333,1.425,0,3.17805383,98.41666667,17.55833333,10.08333333,4.969234428,5.245268145,0.759,8.369708333,3.805808333,2.199,9,16.39,6.625,8.35
NSFTV304@773e969e.0,101.0833333,33.45833333,1.033333333,0,3.606403232,126.5,27.625,9.5,4.802653991,5.029893111,0.797,7.844366667,3.232266667,2.427,5,25.36,6.5,7.6
NSFTV305@8288d278.0,76.08333333,26.15,1.233333333,1,3.128221457,123.25,23.01111111,9.222222222,4.88073367,4.977360505,0.908,9.64742,3.52984,2.733,9,13.72,5.5,9.35
NSFTV306@2c583eed.0,59.5,22.98333333,0.858333333,0,3.392829132,97,18.1,7.555555556,4.249793101,4.491696036,0.785,7.337758333,3.61325,2.031,9,17.01,6.916666667,11.05
NSFTV307@c0d6eca3.0,78,27.125,1.191666667,1,2.674148649,101.5833333,18.28333333,11.33333333,4.779123493,4.92180408,0.867,7.7673,3.790063636,2.049,9,15.40666667,7,8.4
NSFTV308@593def74.0,90.91666667,31.70833333,1.1,0,3.208825489,105.0833333,27.41111111,12.88888889,5.354487638,5.585165758,0.794,8.680591667,2.435808333,3.564,4,20.40666667,4,9.25
NSFTV309@a0a3d697.0,103,30.66666667,1.441666667,0,2.788092909,132.1666667,25.86363636,9.363636364,4.746511908,4.901902094,0.856,9.246408333,3.361191667,2.751,2,19.10333333,5.125,8.2
NSFTV310@fbae20bd.0,84.41666667,24.56666667,1.266666667,0,2.842969519,114.6666667,26.05833333,10.33333333,4.596954713,5.05199048,0.634,10.22410909,2.697636364,3.79,1,10.29,3.541666667,10.5
NSFTV311@137628a5.0,80.5,23.59166667,0.716666667,0,3.516508228,94.66666667,20.6125,10.625,4.729352456,4.929666232,0.818,7.348366667,3.428675,2.143,8,14.98666667,6.916666667,7.65
NSFTV313@872ec0b4.0,86.5,26.91666667,1.291666667,0,3.417726684,123.1666667,24.34166667,10.16666667,5.171430517,5.288687818,0.889,9.052758333,2.508191667,3.609,2,24.215,5.291666667,7.9
NSFTV314@ea28671d.0,81.16666667,40,1.525,0,3.699242241,130.6666667,24.36666667,8.555555556,5.008967237,5.086566999,0.925,8.392516667,2.755825,3.045,4,24.92666667,5.777777778,7.75
NSFTV315@74c9fbbc.0,98.41666667,35.15833333,1.083333333,0,3.113515309,151.6666667,28.2,10.875,5.053346412,5.221828941,0.845,9.068575,3.165725,2.865,3,25.05333333,6,7.5
NSFTV316@b828b757.0,83.41666667,36.825,1.5,1,3.344038968,135.5,26.85,10,5.422142717,5.470358993,0.953,7.020316667,3.026941667,2.319,5,23.285,5.583333334,8.2
NSFTV317@b956dfb5.0,90.75,24.275,1.233333333,1,3.320228319,136.3333333,22.78888889,8.222222222,4.578452798,4.644390899,0.936,8.575916667,3.59995,2.382,2,24.97666667,4.875,8.55
NSFTV318@3eb8fab5.0,96.16666667,30.625,1.491666667,0,3.245193133,145.5833333,26.625,10.16666667,5.184121639,5.226194602,0.959,7.289366667,3.176441667,2.295,6,24.835,5.208333334,7.45
NSFTV319@c7aeb39f.0,100.75,30.4,1.381818182,0,3.496507561,127.2727273,25.94,6.9,4.812184355,4.874433673,0.94,7.7991,3.254908333,2.396,4,23.00666667,5.5,7.4
NSFTV320@cf44b628.0,97.25,28.75,0.991666667,1,3.624340933,126.75,27.11111111,7.666666667,4.8533315,4.902183586,0.952,7.869833333,2.947625,2.67,7,25.04333333,6,8.25
NSFTV321@1f6f13c3.0,81.75,30.64166667,1.533333333,0,3.128221457,131.9166667,25.25,11.16666667,5.136288513,5.197114861,0.941,7.325209091,2.834527273,2.584,6,25.23333333,5.527777778,8.45
NSFTV322@72cef953.0,98.75,31.71818182,1.354545455,0,3.447338538,125,24.27,8,4.899195732,4.94875989,0.952,8.448358333,2.774625,3.045,4,25.93333333,5.472222222,7.5
NSFTV323@1510e4aa.0,103.1666667,35.35833333,1.458333333,0,2.999890284,141.9166667,27.86666667,11.22222222,5.20720669,5.294141995,0.917,7.827616667,2.831783333,2.764,7,24.42333333,4.625,7.4
NSFTV324@0defa551.0,84,26.11666667,1.325,0,3.622116238,133.9166667,24.30833333,9.333333333,4.926649638,4.996085513,0.933,7.288075,2.86105,2.547,3,25.25,6.111111111,8.6
NSFTV325@d0392fe8.0,78.75,23.125,1.233333333,0,3.745574798,154.4166667,26.23333333,9.555555556,4.721740365,5.02028555,0.742,8.051716667,2.7473,2.931,1,22.85666667,4.958333334,8.1
NSFTV326@aeed4684.0,84.25,44.775,1.45,0,3.73369347,125.4444444,30.13333333,9.583333333,5.150397236,5.202173506,0.95,7.658066667,2.746225,2.789,8,24.62,5,7.95
NSFTV327@fb2b3d82.0,90,24.71666667,0.958333333,0,3.723683376,117.5,23.36363636,7.75,4.48863637,4.567468319,0.924,8.0125,2.960275,2.707,8,NA,5.833333334,7.9
NSFTV328@1e4f3933.0,93.5,21.1,0.675,1,4.119037175,130.4166667,20.425,6.333333333,4.22561646,4.373658385,0.862,7.457666667,2.684675,2.778,8,24.89,6.208333334,8.95
NSFTV329@3e58f34c.0,96,31.66666667,1.15,0,3.624340933,132,21.97777778,7.333333333,4.71280085,4.848472807,0.873,7.693391667,2.985466667,2.577,8,25.32,6.35,8.45
NSFTV330@084e8b29.0,100,30.675,1.1,0,3.619886583,137,25.75454545,7.363636364,4.375185103,4.482488809,0.898,9.080083333,3.075125,2.953,3,25.34333333,6.083333334,8.3
NSFTV331@d438bfed.0,95.5,26.54166667,1.133333333,1,3.235405127,113.5,22.21666667,7.333333333,4.364689715,4.439705746,0.928,8.546791667,3.648916667,2.342,9,24.81,5.708333334,9.2
NSFTV332@7e956f22.0,100.6666667,29.34166667,1.041666667,0,3.743604354,133.5,25.86666667,8.444444444,4.782935926,4.893079505,0.896,7.478466667,3.0337,2.465,9,25.36666667,6.25,7.9
NSFTV333@22e60af9.0,62.58333333,26.73636364,0.845454545,0,3.784189634,81.54545455,19.3375,7.875,4.450852826,4.639571613,0.828,7.054790909,3.2684,2.158,9,14.26666667,6.958333334,7.15
NSFTV334@09869491.0,76.58333333,28.41666667,1.316666667,0,2.974678864,112.0833333,20.175,10,5.012855051,5.131376912,0.888,9.118091667,3.80845,2.394,9,17.6,5.527777778,8.65
NSFTV335@1e26852c.0,81.5,24.26666667,1.016666667,0,3.674188739,86.5,19.30909091,8.363636364,4.564348191,4.74255777,0.837,8.485025,3.294875,2.575,9,10.34333333,3.541666667,8.8
NSFTV336@fa180a1e.0,98.25,25.30833333,1.45,0,3.258096538,129,22.43333333,7,4.613318715,4.655690454,0.959,8.207058333,3.325308333,2.468,6,23.915,5.833333334,8.05
NSFTV337@a7bec464.0,81,27.975,1.15,0,4.01186834,127.5833333,23.08181818,9.363636364,4.832667881,4.925275445,0.912,7.922233333,3.237416667,2.447,8,23.17666667,6,6.9
NSFTV338@fed0b9a3.0,79.66666667,31.275,1.058333333,0,2.999890284,111.6666667,23.2,9.636363636,4.862627325,5.00027882,0.871,7.518025,3.688066667,2.038,9,16.52666667,6.666666667,8.15
NSFTV339@b3a301ea.0,86,41.03333333,1.008333333,0,3.915350796,147.25,25.03333333,9.666666667,4.620506526,4.865434345,0.783,8.348808333,3.164966667,2.638,4,23.60333333,6,8
NSFTV340@4b0a7350.0,88.16666667,35.19166667,0.966666667,0,3.988984047,135.6666667,32.54444444,9.777777778,4.814890717,5.27014649,0.634,8.772433333,2.4884,3.525,7,23.00666667,6.25,9
NSFTV341@9f786a86.0,86.75,36.94166667,1.425,0,3.442019376,132,24.44444444,9.444444444,5.16062147,5.229162144,0.934,9.104441667,2.674675,3.404,5,25.45333333,6.583333334,7.4
NSFTV342@ac7a352c.0,90.25,36.23333333,1.408333333,0,2.931193752,118.0833333,25.12222222,11.11111111,5.196038517,5.525452939,0.719,8.109954545,3.013809091,2.691,5,16.38333333,7,8.1
NSFTV343@b663b3f8.0,75.66666667,30.45,1.2,0,2.974678864,118.5833333,22.41666667,11.45454545,4.949404428,5.120168908,0.843,9.059933333,3.346508333,2.707,8,14.38333333,5.361111111,8.55
NSFTV344@a0f35768.0,80,25.45,0.95,0,3.597312261,129.5,22.06363636,8,4.361359998,4.647881304,0.751,7.091933333,3.47735,2.039,6,20.07666667,5.041666667,8.1
NSFTV345@4e35b58a.0,91.75,29.41666667,1.425,1,3.348307918,131.75,22.89090909,7.545454545,4.467995802,4.525733355,0.944,8.375166667,3.6073,2.322,4,23.98,5.166666667,8.9
NSFTV346@80fc89ae.0,84.83333333,35.41666667,1.225,0,3.63758616,129.1666667,24.88888889,8.444444444,5.041664036,5.132584722,0.913,9.194458333,2.663225,3.452,3,26.37,5.333333334,8.8
NSFTV347@853e318c.0,93.25,35.33333333,1.525,0,3.087247382,139.5833333,24.65454545,9.636363636,4.951710615,5.065754593,0.892,9.335483333,3.172291667,2.943,8,21.61666667,5.875,8.6
NSFTV348@a446becd.0,73,25.675,1.108333333,0,3.815879145,123.9166667,23.875,8.083333333,4.62333749,4.684443367,0.941,8.028416667,3.172316667,2.531,3,23.98,5,7.9
NSFTV349@a5a6e2dd.0,93.75,28.10833333,1.3,0,3.851919081,124.0833333,22.1625,10.875,5.153933649,5.246439106,0.912,6.897633333,3.073308333,2.244,3,22.98,6.958333334,7.6
NSFTV350@8adbe877.0,63.5,26.83333333,1.716666667,0,2.233592222,107.5,24.1,10.88888889,4.8506088,4.998440021,0.863,8.77335,3.362083333,2.609,3,17.06333333,4.875,10.8
NSFTV353@af77442b.0,87.75,23.14166667,1.008333333,0,3.654977902,127.6666667,20.61818182,6.909090909,4.928570341,5.00027882,0.931,6.0652,3.114063636,1.948,7,25.125,6.708333334,9.05
NSFTV355@122a975b.0,75.91666667,26.80833333,1.041666667,0,3.412247218,126.3333333,19.87777778,8,4.88073367,4.95774583,0.926,7.69685,3.525558333,2.183,9,14.57666667,6.25,8.7
NSFTV356@f22d2dc6.0,87,31.475,1.283333333,0,3.923622141,151.5833333,28.89090909,10.63636364,4.994752248,5.124504959,0.878,7.946141667,2.971291667,2.674,4,23.50333333,5.416666667,8.05
NSFTV357@cc0ef8cf.0,99.75,26.45833333,1.225,0,2.644992065,149.3333333,25.80833333,8.166666667,5.074652846,5.212214667,0.871,7.628583333,3.059733333,2.493,4,23.5,6.166666667,8.7
NSFTV358@0764178c.0,93.58333333,37.81111111,1.333333333,0,2.953172659,127.25,26.57777778,12,5.444579874,5.748862059,0.738,7.651945455,3.368618182,2.272,9,20.81666667,6.041666667,9.55
NSFTV359@c86f37d0.0,82.41666667,31.26666667,1.644444444,0,3.499029631,131.0833333,26.6125,9.5,5.198497031,5.275327848,0.926,8.216075,2.5574,3.213,7,25.24333333,4.958333334,8.8
NSFTV360@6f068769.0,98.41666667,29.93333333,1.116666667,0,3.392829132,123.8333333,26.35454545,7.909090909,4.728995536,4.86753445,0.871,8.868383333,2.713366667,3.268,7,24.68666667,5.916666667,7.85
NSFTV363@e32c9d62.0,88,28.22,0.92,1,3.284663565,98,22.71,10,4.516338972,5.051137237,0.586,6.606577778,3.403166667,1.941,8,14.39333333,7,8.9
NSFTV364@14e43b02.0,78.75,29.74166667,1.433333333,1,2.633087163,93.08333333,20.95833333,9.583333333,4.907740871,5.05305601,0.865,7.653145455,3.568827273,2.144,7,12.66333333,6.458333334,9.05
NSFTV365@f2e723fc.0,73,26.775,1.083333333,0,3.311151101,88.91666667,22.675,10,4.944614193,5.068379956,0.884,7.867766667,3.159616667,2.49,9,13.08666667,6.291666667,8.8
NSFTV366@73b20824.0,100.75,28.58333333,0.9,0,3.336164911,88,19.7,9.166666667,4.59511985,4.733270189,0.871,7.099283333,3.242758333,2.189,8,16.13,6.75,8.8
NSFTV367@e59cbfbe.0,75.75,27.81666667,1.258333333,0,3.43667177,119.25,22.85454545,7.818181818,4.737792074,4.858401967,0.886,8.496591667,3.277516667,2.592,9,0.056666667,6.875,9.9
NSFTV368@db737b9b.0,79,22.94166667,0.791666667,0,3.557726184,107,21.55,8.75,4.748548769,4.889722365,0.868,6.427725,3.404208333,1.888,9,13.75,7,8.8
NSFTV369@dd2bfbfb.0,75.75,25.49166667,0.925,1,4.074708588,119.5,19.50909091,6.545454545,4.121743536,4.211304214,0.914,9.050966667,2.673,3.386,6,24.85333333,5,9
NSFTV370@bd7aaa87.0,84.33333333,31.375,1.25,0,3.352823797,130.75,24.19166667,8.25,5.10291057,5.210032452,0.898,7.939166667,2.833308333,2.802,3,26.035,5,8.15
NSFTV371@84ad8457.0,83,40.75833333,1.525,0,3.352823797,133.9166667,27.05833333,10.16666667,5.171430517,5.272999559,0.903,8.419166667,2.696658333,3.122,8,23.73333333,6,8.1
NSFTV372@e8f708a5.0,85.5,31.26666667,1.191666667,1,3.814042597,139.75,27.61666667,8,4.870095271,4.935672256,0.937,8.159518182,2.585309091,3.156,6,24.76,5.5,8.3
NSFTV373@c20dfc59.0,88.75,28.85,0.933333333,0,3.550574783,166.6666667,33.3,9,4.42384813,4.880273476,0.634,10.393075,2.396258333,4.337,7,21.47333333,6.291666667,10.05
NSFTV376@de696d95.0,79.5,28.14166667,1.083333333,0,2.633087163,118.75,23.78333333,7.333333333,4.560869927,4.823636148,0.769,10.24314167,3.531991667,2.9,9,20.44333333,5.388888889,9.8
NSFTV377@2779bba9.0,89.08333333,31.79166667,1.55,0,2.944438979,119.6666667,23.71666667,11.33333333,4.864324175,5.026617999,0.85,8.8848,3.153616667,2.817,5,21.27666667,5.916666667,8.8
NSFTV378@eca85a73.0,106.6,30.13,1.01,0,3.799973502,122.9,22.51428571,8.285714286,4.760272794,4.877738621,0.889,7.91285,2.93044,2.7,9,23.42666667,7,8.5
NSFTV379@626cd18d.0,91.66666667,37.54166667,1.408333333,0,2.972742755,130.6666667,24.58333333,9.833333333,4.905891872,5.129405497,0.8,8.919516667,3.100966667,2.876,5,23.76,5.916666667,8.75
NSFTV380@238f25f1.0,92.75,40.34444444,1.077777778,0,2.966131804,100,26.4,11.28571429,5.001706663,5.269002979,0.765,6.957,3.41615,2.037,9,17.91333333,7,8.25
NSFTV381@77f6728e.0,90.83333333,33.3,1.716666667,1,2.674148649,132.5833333,31.12222222,9.888888889,5.209030676,5.48341285,0.76,7.690841667,3.390733333,2.268,8,22.3,5.958333334,8.8
NSFTV384@9764b3c8.0,90.16666667,35.94166667,1.541666667,0,2.885731378,128.0833333,24.21111111,10.55555556,4.912041953,5.180378069,0.765,8.70385,3.099566667,2.808,4,22.52,4.833333334,9.25
NSFTV385@3b25c24f.0,83.75,27.33636364,1.018181818,0,3.808512629,128.8333333,26.39,9.9,4.661722355,4.891715249,0.795,8.4533,2.843408333,2.973,6,23.81666667,5.916666667,7.95
NSFTV386@4f4f777a.0,82.66666667,33.5,1.408333333,0,2.978925155,113.0833333,24.10833333,10.5,5.289949117,5.512756477,0.8,8.12595,3.028033333,2.684,7,16.38,6.875,7.7
NSFTV387@a08839ce.0,78.33333333,26.625,1.416666667,0,2.818398258,88.08333333,20.38181818,11.81818182,5.069475794,5.168415742,0.906,7.983941667,3.28515,2.43,9,9.833333333,6.75,8.35
NSFTV388@3afe3c0b.0,90.81818182,31.35454545,1.054545455,0,3.207906793,96.18181818,24.08,10.3,4.952299717,5.236441963,0.753,7.258427273,3.240109091,2.24,9,16.01666667,7,8.45
NSFTV389@7126c359.0,106.75,36.88888889,1.544444444,0,2.577688383,120.5833333,26.95555556,13.77777778,5.020952261,5.624418549,0.547,7.795258333,3.315541667,2.351,9,16.16,7,10.9
NSFTV390@5c592759.0,91.25,34.95555556,1.477777778,1,3.208825489,120.1666667,31.6,12.44444444,4.529008825,5.21312252,0.505,8.814941667,2.829183333,3.116,2,22.42,6.166666667,9.35
NSFTV391@180a155f.0,86.08333333,27.24166667,1.166666667,0,2.813410717,101.6666667,26.0375,10.875,4.816609141,5.219372541,0.668,9.838209091,2.522709091,3.9,8,20.50666667,4.916666667,9
NSFTV392@c4a397e5.0,89.41666667,35.98333333,1.608333333,0,3.120895417,121.8333333,24.91818182,11.09090909,4.77529647,5.235958287,0.631,9.709733333,3.048116667,3.185,5,13.65666667,3.5,9.7
NSFTV394@1f856ac1.0,86,27.525,1.158333333,0,3.142714464,118.3333333,22.42222222,9.444444444,4.711166863,4.891032422,0.835,9.440883333,3.288691667,2.871,6,14.88,3.361111111,7.9
NSFTV395@ffde60f9.0,90.58333333,33.1,1.408333333,1,2.788092909,117.5,26.68333333,10.83333333,5.035869765,5.178970609,0.867,8.98575,3.295866667,2.726,1,21.31,5.5,8.95
NSFTV396@1eb5d579.0,84.66666667,22.50833333,1.175,0,2.935628349,91.66666667,21.85,11.16666667,5.150397236,5.293304825,0.867,9.006554545,2.5468,3.536,6,25.02,5.291666667,8.425
NSFTV397@45d3c920.0,88.25,29.125,1.158333333,0,2.679879324,91.83333333,22.5625,13.625,5.167380009,5.416504361,0.779,9.16204,2.44306,3.75,1,22.622,5.805555556,8.875
NSFTV398@0c8eb926.0,98.5,29.67777778,1.388888889,1,3.135494216,106.8333333,24.54444444,11.22222222,5.325716341,5.524567199,0.82,9.236033333,2.70205,3.418,1,17.206,7,9.575
NSFTV399@12a175c1.0,78.91666667,25.3,1.275,0,2.696876901,94.33333333,24.03333333,12.08333333,5.270432163,5.38907173,0.888,8.841466667,2.556191667,3.459,1,21.13,4.611111111,9.45
NSFTV400@61876b53.0,93.75,30.8,1.4,1,3.044522438,109.5833333,25.3,11.83333333,5.371800143,5.487559366,0.891,9.343783333,2.744016667,3.405,1,17.195,7,8.05
NSFTV616@298c9652.0,81,26.33333333,1.05,0,3.54577861,111,33.31666667,11,4.96517292,5.411646052,0.64,10.14395,2.270733333,4.467,1,25.525,7,9.6
NSFTV618@a4acb3d5.0,78.5,27.93333333,1.4,0,3.308106959,86.83333333,20.15,10.16666667,4.8978398,5.11599581,0.804,7.73225,3.230666667,2.393,9,15.885,7,9.1
NSFTV619@f7e71b48.0,78,23.88333333,1.35,0,3.171085161,81.83333333,23.31666667,9.666666667,4.773505501,4.881538499,0.898,9.145033333,2.604666667,3.511,9,21.885,6,8.2
NSFTV620@9e09efb3.0,91.5,32.41666667,1.383333333,0,3.428596356,110.1666667,28.8,11,5.177090909,5.372187215,0.823,9.744366667,2.65335,3.672,1,16.865,7,8.25
NSFTV621@b4d6e1d7.0,85.5,22.88333333,1.216666667,1,2.602689685,91.5,24.88333333,12.66666667,4.944020545,5.379897354,0.647,9.36144,2.58132,3.627,8,24.065,7,8.6
NSFTV622@fb21dae1.0,83.5,28.31666667,1.016666667,0,3.444682494,84.66666667,22.51666667,11.33333333,4.739118158,5.377590547,0.528,8.56675,3.116283333,2.749,8,13.055,7,9.1
NSFTV624@961237a1.0,86.5,31.36666667,1.1,0,2.685577345,98.16666667,25.83333333,13.16666667,4.715518243,5.388310405,0.51,9.06872,2.35872,3.845,1,22.555,7,8.75
NSFTV625@38ab4ed4.0,85.5,28.15,1.05,0,2.782951509,102.1666667,23.3,12.83333333,4.787491743,5.321382639,0.586,9.044283333,2.3568,3.838,NA,22.65666667,7,8.25
NSFTV626@630c7f90.0,90.5,29.38333333,1.016666667,0,3.36729583,96.16666667,25.76666667,11.66666667,5.185521872,5.441695949,0.774,7.587733333,3.014233333,2.517,NA,27.44,7,8.35
NSFTV627@9b34fda6.0,62,24.1,1.033333333,0,2.302585093,78.33333333,19.21666667,7.666666667,3.444682494,3.908684104,0.629,9.921,2.810216667,3.53,NA,22.68333333,7,8.15
NSFTV628@3995b6ff.0,81.5,16.2,1.25,0,3.004031076,75.16666667,17.73333333,6.666666667,4.288173726,4.420846627,0.876,9.632383333,2.818266667,3.418,1,20.29666667,7,9.85
NSFTV629@ce3f9303.0,72.5,21.8,0.925,0,3.079613758,98,20.15,9.25,4.995521656,5.079850363,0.919,9.7649,2.5815,3.783,NA,17.96,5,8.75
NSFTV630@76db905a.0,84.5,30.66666667,1.283333333,0,2.944438979,88.66666667,24.18333333,9.833333333,4.88909521,4.977882508,0.915,8.78595,2.43575,3.607,NA,19.78,5,9.85
NSFTV632@77522873.0,81.5,27.45,1.383333333,0,2.696876901,94.83333333,27.03333333,13,5.151362954,5.274707501,0.884,9.2707,2.525183333,3.671,NA,21.11,5,9.8
NSFTV633@b23710c4.0,94.5,26.21666667,1,0,3.516508228,88.16666667,24.48333333,9.166666667,5.041272264,5.205836514,0.848,8.48015,2.406183333,3.524,NA,26.37,7,9.35
NSFTV634@924bd3ae.0,89,34.5,1.5,1,3.52144651,107.1666667,28.53333333,9.666666667,5.059425458,5.156177599,0.908,9.47815,2.648166667,3.579,NA,26.13,7,8.65
